,Precision,Recall,F1 Score
0,0.8819444444444444,0.8943661971830986,0.8881118881118881
1,0.8787878787878788,0.6904761904761905,0.7733333333333333
2,0.9024390243902439,0.9548387096774194,0.9278996865203761
3,0.8807947019867549,0.8364779874213837,0.8580645161290322
4,0.967741935483871,0.967741935483871,0.967741935483871
5,0.9438202247191011,0.8615384615384616,0.900804289544236
6,0.712707182320442,0.8113207547169812,0.7588235294117647
7,0.8421052631578947,0.7164179104477612,0.7741935483870968
8,0.9,0.6666666666666666,0.7659574468085106
9,0.8666666666666667,0.7222222222222222,0.7878787878787878
10,0.9137055837563451,0.9278350515463918,0.9207161125319693
11,0.8551401869158879,0.9384615384615385,0.8948655256723717
12,0.8486842105263158,0.821656050955414,0.8349514563106796
13,0.9652173913043478,0.8740157480314961,0.9173553719008265
14,0.8646616541353384,0.8455882352941176,0.8550185873605948
15,0.8024691358024691,0.8552631578947368,0.8280254777070064
16,0.7142857142857143,0.5263157894736842,0.6060606060606061
17,1.0,0.875,0.9333333333333333
18,0.9603960396039604,0.9326923076923077,0.9463414634146341
19,0.7680412371134021,0.9254658385093167,0.8394366197183099
