,Precision,Recall,F1 Score
0,0.9333333333333333,0.8873239436619719,0.9097472924187726
1,0.9565217391304348,0.7857142857142857,0.8627450980392157
2,0.9681528662420382,0.9806451612903225,0.9743589743589743
3,0.6902654867256637,0.9811320754716981,0.8103896103896104
4,0.8673469387755102,0.9139784946236559,0.8900523560209425
5,0.9633507853403142,0.9435897435897436,0.9533678756476683
6,0.975,0.7358490566037735,0.8387096774193549
7,0.7313432835820896,0.7313432835820896,0.7313432835820896
8,0.75,0.5555555555555556,0.6382978723404256
9,0.7,0.7777777777777778,0.7368421052631579
10,0.9456521739130435,0.8969072164948454,0.9206349206349206
11,0.9736842105263158,0.9487179487179487,0.961038961038961
12,0.9602649006622517,0.9235668789808917,0.9415584415584416
13,0.9666666666666667,0.9133858267716536,0.9392712550607287
14,0.7894736842105263,0.7720588235294118,0.7806691449814126
15,0.8258064516129032,0.8421052631578947,0.8338762214983714
16,0.8409090909090909,0.9736842105263158,0.9024390243902439
17,0.9375,0.9375,0.9375
18,0.8,0.9230769230769231,0.8571428571428571
19,0.9447852760736196,0.9565217391304348,0.9506172839506173
